x	y	u	fx	fy
0.001	0.455	0.1697186758395443	-1.0016475667936997	-5.606911687281712e-05
0.001	0.46	0.1698748021419998	-1.0025924628243468	0.00013295542905524227
0.0016	0.46499999999999997	0.25738335850258875	-0.9940104838149161	-4.84616532149318e-05
0.0036	0.47	0.4882629613473562	-0.9922864383908347	-8.018040462462998e-05
0.0026	0.46499999999999997	0.3834885134405376	-1.0035829153257618	5.961360807271082e-05
0.0026	0.47	0.383655275311238	-1.0034565358675045	-5.848122773302077e-05
0.0036	0.475	0.48811788608178336	-0.9921047181576964	4.45276500945503e-05
0.0064	0.48	0.6959520759431127	-0.9919969216981487	-0.00011679598095578281
0.005	0.475	0.6055854245901016	-1.0044684637565289	0.00011267087033330565
0.005	0.48	0.6056328519680615	-1.0040160750332086	-0.00016661839820459676
